DATE,DVD_SH_12M,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,IQ_DIV_SHARE,IQ_TOTAL_REV,IQ_OPER_INC,IQ_EARNING_CO,IQ_NI,IQ_EBITDA,IQ_EBIT,IQ_BASIC_EPS_EXCL,IQ_DILUT_EPS_EXCL,IQ_DILUT_EPS_NORM,IQ_CASH_EQUIV,IQ_TOTAL_CA,IQ_TOTAL_ASSETS,IQ_TOTAL_CL,IQ_TOTAL_LIAB,IQ_BV_SHARE,IQ_TBV,IQ_TOTAL_DEBT,IQ_CASH_OPER,IQ_CAPEX,IQ_CF_SHARE,IQ_RETURN_ASSETS,IQ_RETURN_CAPITAL,IQ_RETURN_EQUITY,IQ_GROSS_MARGIN,IQ_CURRENT_RATIO,IQ_TOTAL_DEBT_CAPITAL
12/31/2010,6.3859,3.82,-9.71,6.00446,241.66119,32.42658,21.75609,21.43881,43.49734,31.66626,21.10932,20.75146,17.97093,158.17029,973.48574,2781.44898,1217.79208,2171.57062,575.64302,275.99574,775.70104,40.12432,-15.57675,23.90975,2.8522,13.0822,14.5382,31.4084,0.79939,56.25
3/31/2011,6.577,4.72,-9.97,6.14376,243.5505,35.39432,22.61584,22.13392,45.82176,33.74556,21.84456,21.52421,20.53239,170.82357,1004.02223,2845.09526,1247.69256,2213.99633,593.89706,285.74201,782.58719,31.84354,-13.06647,18.59227,2.9944,13.5576,14.773,31.5472,0.8047,55.7519
6/30/2011,6.5158,3.41,-12.98,6.50338,253.85163,36.85142,23.44306,23.39745,49.22992,36.94213,22.64948,22.3505,21.15076,171.09572,1012.93344,2896.56233,1256.5844,2251.65442,613.94535,297.25797,773.34082,51.66501,-14.16585,36.59702,3.2162,14.5147,14.8257,31.7616,0.8061,54.6751
9/30/2011,6.6278,2.51,-13.98,6.75614,258.88049,38.88466,23.64202,23.26257,48.75971,36.55219,22.96637,22.67833,22.41632,172.25283,1025.15852,2923.06453,1278.4819,2275.24999,616.99654,296.04469,771.0906,43.9001,-15.20061,27.86596,3.1351,14.1045,14.6733,32.3376,0.80186,54.4748
12/30/2011,7.4455,2.73,-11.11,7.1455,264.03998,33.74657,21.54992,20.80706,44.96921,32.35515,21.01623,20.67804,18.90034,167.69809,992.68445,2916.44177,1282.75341,2274.08363,613.13601,289.51285,748.63278,46.58371,-17.09111,29.07485,2.7748,12.5504,13.4086,31.3765,0.77387,53.8744
3/30/2012,7.2529,4.36,-8.67,7.15252,260.34177,37.65484,24.00416,23.29002,49.00096,36.06038,23.37753,23.09916,21.55361,175.80311,1019.56802,2993.70774,1314.32742,2331.77616,631.71332,304.45489,766.48605,34.74853,-14.9857,19.35859,3.0442,13.8084,14.7419,31.5152,0.77573,53.7187
6/29/2012,7.534,3.31,-11.44,7.38298,260.85243,38.70559,22.87772,22.1999,49.81272,36.7662,22.12782,21.82262,22.39604,171.27405,1015.22813,3017.87164,1323.40708,2341.44038,641.34408,306.5438,764.34052,45.03647,-16.06492,28.50965,3.0458,13.64,13.6881,32.0394,0.76713,53.2626
9/28/2012,7.9637,3.58,-10.65,8.06096,260.89354,37.54983,22.28574,21.61425,49.11799,35.86761,21.62532,21.3384,21.60888,171.71594,1029.53752,3089.0778,1336.48338,2390.31085,663.06009,322.66518,766.71828,42.55647,-16.79775,25.15775,2.9293,12.9919,13.0122,31.7383,0.77033,52.5034
12/31/2012,9.2666,3.85,-11.22,7.98401,280.58458,35.01002,21.63463,20.61314,48.0042,34.00967,21.08257,20.78784,19.46293,171.69279,1050.74428,3164.46613,1390.39381,2414.17388,667.96607,321.78114,756.95758,41.33439,-18.95469,21.4105,2.7032,11.3505,12.3848,29.9947,0.75572,51.9695
3/29/2013,8.6929,3.69,-11.03,8.41564,264.3606,38.67516,25.26494,25.25282,49.83596,35.93585,24.5925,24.30907,22.25457,145.77032,1060.65431,3174.70726,1381.06112,2456.83932,679.8176,330.20794,769.78014,40.36122,-15.11955,25.07617,2.8383,12.5855,14.3049,31.8045,0.768,52.0028
